26.6,5.8,6.5
31,4.5,6.9
30.5,6.9,7.2
28.8,6.6,7
25.3,6.9,7.5
25.9,5.5,7.6
26.5,5.4,7.8
18.9,7.1,7.8
20.5,6.9,8
27.1,7.3,7.3
26.3,7.5,7.5
29.1,6.4,7.2
28.4,6.5,7.1
24.7,7.7,7.9
24.4,7.5,7.8
22.7,7.3,7.2
24.8,7.4,7.9
24,7.4,7.8
22.8,7.5,8
26.8,7.2,8
27.4,6.6,7.8
25.3,7.5,7.9
27.1,7.4,7.9
29,6.8,7.3
25,5.9,7.9
25,6.5,7.3
25,6.5,7.7
32,6,7.1
29.3,6.5,7.4
22.8,6.8,6.6
24.5,6.6,6.4
25.5,6.6,6.5
29,6.7,6.9
23.8,6.7,6.3
22.8,6.7,6.4
29,6.6,7.2
29,6.7,7
23,6.6,6.2
29,6.8,6.9
25.7,6.5,6.6
25.7,6.6,6.7
24.3,0.9,7.6
29,6.8,6.7
22.7,5.8,7.2
19,4.8,7.6
23,5.5,7.3
24,5.1,7.4
24.7,5.5,7.4
25,5,7.6
22,4.9,7.7
24.3,5,7.3
23.3,5.3,7.2
19.5,4.9,7.7
21.5,4.1,7.5
20,4.8,7.4
29,6.8,8.2
29,6.8,7.9
32.6,4,6.8
23.6,7.8,7.8
23.9,7.7,7.7
24.5,7.6,7.9
29,6.8,7.2
18.1,4.4,7.1
25.1,5.9,8
22.3,6,7.2
23.7,5.6,7.9
23.9,6.2,8.1
25.5,7.2,7.5
25.1,7.2,7.5
25.2,7.5,7.3
23.2,7.5,7.5
20.1,5.3,3.3
18.3,7.2,7.2
19.3,7.5,7.2
24,7.8,7
20.5,6.7,2.7
21.2,7.3,6.6
26.3,7.4,7.3
25.5,7.2,7.4
20,7.3,7.1
20.3,7.3,7.1
19.4,6.6,7.1
21,7.3,5.6
19.2,5.1,7
18.3,7.3,7.1
19.6,7.7,7.2
23.7,7.6,7.3
18.2,6.2,7
18.8,7.2,7.1
18.9,7.4,7.1
25.1,7.5,7.4
18.8,7.1,7.1
20.2,7.3,7.2
20,7.3,7.3
18.5,1.5,6.9
18.8,3.9,7.1
18.3,1,7.2
18.5,0.9,7.2
18.2,7.2,7
22.1,7.7,7.2
17.6,7.3,6.9
18.7,1.2,7.1
18.7,3.2,7.1
23.1,7.2,7.2
22.6,7.2,7.1
20,7.5,7.3
19.9,7.6,7.3
24.5,7.1,7.3
24.4,7.2,7.3
23.6,6.9,7.1
23.5,6.8,7.1
27.3,6.2,7.8
29.1,6.4,7.8
26.6,6.6,7.9
29,6.8,0
27.1,7.3,7.9
27.3,5,7.6
29,6.8,0
24.5,6,7.7
29,6.8,6.7
27.5,5.3,7.8
28.3,4.3,7.8
28.4,4.5,8.3
29,6.8,6.7
27.6,6.8,8.2
29,5,8
29,3,7.7
27,6.7,8.1
29,8.2,8.4
29,6.8,6.7
30,5.6,7.5
30.4,5.5,6.7
30.8,5.5,7.1
30.3,5.3,7.3
30.1,6,7.6
29.9,5.7,6.9
29.1,6.4,7.1
29.9,6.2,7.8
29.8,6.1,7.6
27.9,7,6.9
28.2,6.6,6.5
29.6,7,6.8
28.8,7,7
29.5,6.3,7.6
29.8,6.7,6.8
29.7,7.1,6.6
28.7,6.7,6.6
27.9,7.2,6.7
29.3,4.2,6.7
28.6,6.3,6.6
29.8,5.6,7.7
28.6,2.8,6.4
30.6,5.2,7.1
30.3,5.6,7.7
30.4,5.5,7.7
29.6,6.9,6.7
29.6,6.3,7.6
29.5,7.1,6.6
26.7,6.9,7.7
29.3,7.2,8.2
28,6.9,7.7
28.2,6.9,7.6
26.5,6.4,7.4
20.7,6.3,8.3
27.2,6.7,7.8
27.5,6.3,7.6
26,5.9,7.6
26.5,7.3,7.7
27,3.6,7.4
27.3,6.3,8.3
28.7,7.2,7.7
28.4,7.1,7.5
28.7,7.1,7.4
28.7,7.2,7.6
28.7,7,7.6
28.7,7.2,7.6
28.7,7.1,7.8
29.3,6.8,7.7
28.3,6.8,7.4
28.7,6.8,7.6
29.2,6.7,7.8
28.7,6.8,7.7
27.2,6.8,8.1
27.2,6.8,8
27.2,7,8
28,6.9,7.9
26.2,7,7.6
26.2,7.2,7.5
28.2,7.2,7.7
24.5,6.9,7.5
24.5,6.7,7.7
24.5,7.3,7.7
24,6.4,7.3
24.9,6,7.1
24.3,6.3,7.1
24.8,6.5,7.3
26.4,6.7,6.6
27,7,6.6
26.6,6.7,7.3
28.6,6.9,7.7
28.8,6.7,7.9
28,5.6,6.9
27.4,7.3,7.4
27.5,6.9,7.4
26.8,7.1,7.4
30,7.2,6.9
28.8,3.4,6.7
27.4,6.1,7.2
24.8,6.4,7.2
23.6,6.2,7.2
29.8,6.6,6.9
30.2,6.8,7
28.2,2.9,6.7
27.7,3,6.6
23.9,6.7,7.1
27.4,3.6,7.3
27.8,6.1,7.8
26.4,6.9,7.4
29.6,7,6.9
27,3.1,7.2
26.3,7,7.1
30,6.1,7
28,6,6.4
30.1,6.3,7
27.9,6.9,8.1
27,5.9,6.7
26,7.8,6.8
27.7,7.1,7.4
27.1,7.3,7.2
26.5,6.2,7.2
28.5,7.2,6.8
28.7,6.9,6.7
25.7,6.3,7.4
29.3,7.6,6.8
27,7,7.2
30.9,5.9,7
27.1,6.8,7.2
30.3,6.3,6.7
30.4,6.4,6.9
26.2,6.6,7.3
26.2,6.9,7.2
25.1,6,7.3
27.4,6.1,7.2
28.1,4.5,6.9
28.3,4.2,7
28.2,6,7
27.2,7.3,7
27.4,6.3,7
28.2,6.4,7.2
27.9,5.9,7
27.3,4.6,7
28.2,6.5,6.9
28.2,6.5,7
26.7,6.4,6.4
